loan_id,age,occupation,employment_sector,monthly_income,wealth_index,loan_amount,tenure_months,interest_rate,missed_payments,repayment_ratio,outstanding_balance,default_flag
LN00000,29,trader,public,148712.12,2,98385.06,20,14.1,2,0.8126,18441.77,0
LN00001,63,artisan,self_employed,50000.0,4,51899.74,9,12.0,0,0.9979,107.74,0
LN00002,57,civil_servant,informal,50000.0,2,547103.7,21,11.7,0,0.9947,2890.94,0
LN00003,46,trader,self_employed,210582.81,2,708021.92,20,8.4,3,0.7277,192766.2,1
LN00004,46,trader,public,50000.0,1,128773.86,13,13.0,3,0.907,11979.97,1
LN00005,67,artisan,public,50000.0,1,414456.17,9,12.7,0,0.0357,399649.62,1
LN00006,29,other,informal,74245.01,3,50000.0,13,13.9,1,0.0205,48974.68,1
LN00007,59,artisan,informal,155066.26,1,54851.88,10,13.3,0,0.898,5595.73,0
LN00008,35,teacher,private,50000.0,1,106439.32,7,13.6,0,0.1117,94552.13,1
LN00009,29,teacher,private,141114.43,1,77411.6,15,17.3,4,0.0899,70453.68,1
LN00010,51,teacher,private,50000.0,5,599665.26,6,14.3,1,0.2144,471099.94,1
LN00011,73,trader,private,50000.0,2,50000.0,9,13.9,0,0.3847,30765.14,0
LN00012,61,civil_servant,public,50000.0,2,687401.49,10,5.0,0,0.8534,100782.86,0
LN00013,63,teacher,public,50000.0,4,93464.07,6,16.2,0,0.812,17568.82,0
LN00014,60,artisan,public,98293.43,2,140565.53,15,10.8,0,0.8504,21031.28,0
LN00015,64,trader,self_employed,151002.6,3,64249.61,10,12.3,6,0.7818,14022.01,1
LN00016,50,farmer,public,94633.72,3,50000.0,19,6.9,0,0.9787,1066.17,0
LN00017,31,teacher,public,50000.0,2,693328.32,10,20.4,0,0.8315,116804.02,0
LN00018,66,trader,private,50000.0,3,152980.92,9,5.0,2,0.7225,42459.19,0
LN00019,47,civil_servant,public,50000.0,5,215069.7,6,18.0,0,0.7147,61351.62,0
LN00020,50,civil_servant,public,166130.95,1,134848.82,12,13.7,0,0.8822,15884.89,0
LN00021,43,trader,private,50000.0,1,144665.32,12,5.0,1,0.8674,19180.7,0
LN00022,34,trader,public,251716.2,3,125319.57,16,20.1,0,0.7448,31984.73,0
LN00023,71,civil_servant,private,74282.91,2,250590.23,12,14.1,0,0.1728,207293.57,1
LN00024,64,civil_servant,informal,126629.15,2,186869.47,24,5.0,1,0.9682,5933.56,0
LN00025,57,civil_servant,public,50000.0,1,152828.08,14,10.3,4,0.828,26288.12,1
LN00026,45,artisan,informal,50000.0,3,50000.0,6,14.1,3,0.9188,4059.86,1
LN00027,66,artisan,informal,50000.0,3,101417.36,6,18.9,0,0.9737,2665.61,0
LN00028,52,trader,self_employed,87649.27,5,732831.49,15,10.4,1,0.8572,104672.12,0
LN00029,47,civil_servant,private,50000.0,2,445487.97,6,5.0,1,0.924,33876.02,0
LN00030,47,civil_servant,private,50000.0,5,56857.76,15,17.8,0,0.1506,48295.4,1
LN00031,36,civil_servant,private,157849.64,2,240950.66,17,14.0,0,0.3892,147184.14,0
LN00032,29,trader,self_employed,50000.0,2,807166.04,17,5.0,1,0.8983,82070.02,0
LN00033,52,civil_servant,public,50000.0,3,316150.9,6,13.4,0,0.9586,13075.45,0
LN00034,69,trader,informal,50000.0,2,708543.77,17,13.8,3,0.827,122581.76,1
LN00035,28,other,private,50000.0,2,714198.3,13,10.7,0,0.354,461389.91,0
LN00036,67,trader,self_employed,50000.0,1,50000.0,8,8.7,0,0.0451,47744.48,1
LN00037,66,artisan,public,55220.94,2,413824.72,11,9.6,3,0.8656,55601.49,1
LN00038,38,civil_servant,public,147536.67,3,203551.55,14,10.7,3,0.9823,3599.84,1
LN00039,56,civil_servant,private,326466.9,1,99603.2,7,13.4,0,0.7737,22543.72,0
LN00040,33,farmer,private,74144.81,3,111273.25,13,15.2,2,0.7638,26287.34,0
LN00041,62,trader,private,111605.66,1,397565.65,20,5.0,2,0.8449,61674.76,0
